PuzzleID,FEN,Moves,Rating,Popularity,Themes,Opening,Display Theme,Tags
opening_00061 London System,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/2P1P3/PP3PPP/RN1QKBNR b KQkq - 0 4,Nc6,,,system mainline white,london_system,,OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::system OCP::00_Openings_Defences::white
opening_00062 London System,r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/2P1P3/PP3PPP/RN1QKBNR w KQkq - 1 5,Nf3,,,system mainline white,london_system,,OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::system OCP::00_Openings_Defences::white
opening_00063 London Setup,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d4,,,flexible mainline white,london_system,,OCP::00_Openings_Defences::flexible OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00064 London Setup,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,Nf6,,,flexible mainline white,london_system,,OCP::00_Openings_Defences::flexible OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00065 London Setup,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,Bf4,,,flexible mainline white,london_system,,OCP::00_Openings_Defences::flexible OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00066 London Setup,rnbqkb1r/pppppppp/5n2/8/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 2 2,e6,,,flexible mainline white,london_system,,OCP::00_Openings_Defences::flexible OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00067 London Setup,rnbqkb1r/pppp1ppp/4pn2/8/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3,e3,,,flexible mainline white,london_system,,OCP::00_Openings_Defences::flexible OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00068 London Setup,rnbqkb1r/pppp1ppp/4pn2/8/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,c5,,,flexible mainline white,london_system,,OCP::00_Openings_Defences::flexible OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00069 London Setup,rnbqkb1r/pp1p1ppp/4pn2/2p5/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq - 0 4,Nf3,,,flexible mainline white,london_system,,OCP::00_Openings_Defences::flexible OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
opening_00070 London Setup,rnbqkb1r/pp1p1ppp/4pn2/2p5/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 1 4,Nc6,,,flexible mainline white,london_system,,OCP::00_Openings_Defences::flexible OCP::00_Openings_Defences::London_System OCP::00_Openings_Defences::mainline OCP::00_Openings_Defences::white
